항목,내용
한글명,KODEX 미국나스닥100선물인버스(H)
영문명,KODEX US NASDAQ100 Futures Inverse(H)
표준코드,KR7409810009
종목코드,409810
상장일,2021-12-09
펀드형태,수익증권형
기초지수명,NASDAQ100 1x Short Index
추적배수,1X 인버스 (-1)
자산운용사,삼성자산운용(주)
지정참가회사(AP),"키움증권, KB증권, 메리츠증권"
총보수(%),0.3
회계기간,"최초회계기간: 최초설정일로부터 2021년 12월 31일까지, 상기 회계기간 경과 후의 회계기간: 2022년 1월 1일부터 매 1년 간"
과세유형,배당소득세(보유기간과세)
분배금 지급일,"회계기간 종료일(다만, 회계기간 종료일이 영업일이 아닌 경우 그 직전 영업일)"
홈페이지,http://www.kodex.com/
http://www.kodex.com/,http://www.kodex.com/
기초 시장,(해외) (북미) (미국)
기초 자산,(주식) (시장대표) / (-) (-) / (-)
기본 정보,"이 투자신탁은 NASDAQ100 Index를 기초지수로 하여 1좌당 순자산가치의 일간변동률을 기초지수 일간수익률의 음(陰)의 1배수로 연동하여 투자신탁재산을 운용함을 목적으로 합니다. ※ 그러나 상기의 투자목적이 반드시 달성된다는 보장은 없으며, 집합투자업자, 신탁업자, 판매회사 등 이 투자신탁과 관련된 어떠한 당사자도 투자원금의 보장 또는 투자목적의 달성을 보장하지 아니합니다."
