항목,내용
한글명,KODEX 미국달러선물인버스
영문명,KODEX USD Futures Inverse
표준코드,KR7261270003
종목코드,261270
상장일,2016-12-27
펀드형태,수익증권형
기초지수명,미국달러 선물 인버스지수
추적배수,1X 인버스 (-1)
자산운용사,삼성자산운용(주)
지정참가회사(AP),"유진투자증권, 하이투자증권, SK증권, 신한금융투자"
총보수(%),0.41
회계기간,매년 1월 1일부터 12월 31일까지(최초 회계기간: 최초설정일로부터 해당년도 12월 31일까지)
과세유형,배당소득세(보유기간과세)
분배금 지급일,"회계기간 종료일 (다만, 회계기간 종료일이 영업일이 아닌 경우 그 직전 영업일)"
홈페이지,www.kodex.com
www.kodex.com,www.kodex.com
기초 시장,(국내) (주식외) (-)
기초 자산,(통화) (미국달러) / (-) (-) / (-)
기본 정보,"이 투자신탁은 한국거래소(KRX)에서 거래되는 미국달러선물 가격 수준을 종합적으로 표시하는 미국달러선물지수(이하 “기초지수”라 한다)를 기초지수로 하여 1좌당 순자산가치의 일간 변동률을 기초지수 일간 변동률의 음(陰)의 1배수를 추종하도록 투자신탁재산을 운용함을 그 운용목적으로 합니다. ※ 그러나 상기의 투자목적이 반드시 달성된다는 보장은 없으며, 집합투자업자, 신탁업자, 판매회사 등 이 투자신탁과 관련된 어떠한 당사자도 투자원금의 보장 또는 투자목적의 달성을 보장하지 아니합니다."
투자유의사항,"누적수익률과 괴리 위험 이 투자신탁은 미국달러선물의 가격 수준을 종합적으로 표시하는 미국달러선물지수(F-USDKRW Index)를 기초지수로 하여 1좌당 순자산가치의 일간변동률을 기초지수의 일간변동률의 음(陰)의 1배수로 연동하여 투자신탁재산을 운용함을 그 운용목적으로 합니다. 이는 일간단위로 기초지수가 오를 경우에도 음(陰)의 1배수를 추구하고 떨어질 때에도 음(陰)의 1배수를 추구하는 것이므로 투자기간 전체에 대해서 누적하여 음(陰)의 1배수를 추구할 수 있다는 것을 의미하지는 않습니다. 파생상품 롤오버 (Roll-Over)위험 이 투자신탁은 미국달러선물지수를 기초지수로 하여 1좌당 순자산가치의 일간변동률을 기초지수 일간변동률의 음(陰)의 1배수로 연동하는 것을 목적으로 하며, 그 목적을 달성하기 위하여 미국달러선물의 매도 등을 이용할 계획입니다. 다만, 선물은 현물과는 달리 만기일이 있기 때문에 만기일 도래시 차기(次期) 선물으로 재투자하여야 하며, 이로 인해 재투자가격이 만기일의 만기상환금액과 일치하지 않을 위험(이를 롤오버[Roll over] 위험이라 합니다)이 발생할 수 있습니다. 이러한 이유 등으로 투자목적이 달성되지 아니할 위험이 있습니다. 시장변동성 상승에 따른 복리 효과 상승 위험 이 투자신탁은 일간 단위로만 기초지수 일간변동률의 음(陰)의 1배수(-1배수)를 추구하기 때문에 연속적으로 2일 이상 보유한 경우 투자신탁의 일간변동률만큼 투자기간 동안의 수익률이 복리(複利)로 계산됩니다. 특히, 시장 변동성이 높아지는 경우, 복리효과로 인해 장기 투자수익률은 기초지수 일간변동률의 음(陰)의 1배수의 누적수익률보다 축소될 수 있습니다. 이러한 현상은 변동성이 증가할수록 더욱 확연하게 나타납니다. 따라서, 2일 이상의 투자신탁 수익률은 기초지수의 성과뿐만 아니라, 기초지수의 변동성, 기타 투자신탁 운용에 소요되는 비용 등이 반영되어 산출될 수 있습니다."
