항목,내용
한글명,KoAct 글로벌기후테크인프라액티브
영문명,KoAct Global Climate Tech Infra Active
표준코드,KR7475070009
종목코드,475070
상장일,2024-01-18
펀드형태,수익증권형
기초지수명,Solactive 글로벌기후테크인프라 PR 지수
추적배수,일반 (1)
자산운용사,삼성액티브자산운용 주식회사
지정참가회사(AP),"키움증권, 미래에셋증권, 메리츠증권"
총보수(%),0.5
회계기간,"매년 1월 1일부터 12월 31일까지. 단, 최초 회계기간은 최초설정일로부터 당해연도 12월 31일까지"
과세유형,배당소득세(보유기간과세)
분배금 지급일,"1월, 4월, 7월, 10월 마지막 영업일 및 회계기간 종료일(다만, 회계기간 종료일이 영업일이 아닌 경우 그 직전 영업일)"
홈페이지,http://www.samsungactive.co.kr
http://www.samsungactive.co.kr,http://www.samsungactive.co.kr
기초 시장,(국내&해외) (-) (-)
기초 자산,(주식) (업종섹터) / (-) (업종테마) / (-)
기본 정보,"이 투자신탁은 Solactive AG가 산출·발표하는 Solactive Global Climate Technology Infrastructure Index PR 지수를 비교지수로 하여 비교지수 대비 초과성과를 목표로 투자신탁재산을 운용하는 것을 목표로 하는 액티브상장지수펀드입니다. ※ 그러나 상기의 투자목적이 반드시 달성된다는 보장은 없으며, 집합투자업자, 신탁업자, 판매회사 등 이 투자신탁과 관련된 어떠한 당사자도 투자원금의 보장 또는 투자목적의 달성을 보장하지 아니합니다."
투자유의사항,"시장위험 및 개별위험 투자신탁재산을 국내외 주식 등에 투자함으로써 투자대상자산의 가격 변동, 이자율 등 기타 거시경제지표의 변화에 따른 위험에 노출됩니다. 또한, 투자신탁 재산의 가치는 투자대상종목 발행회사의 영업환경, 재무상황 및 신용상태의 악화에 따라 급격히 변동될 수 있습니다. 주식등 가격변동위험 이 투자신탁은 증권시장에 상장되어 거래되는 국내외 주식 등에 주로 투자하기 때문에 동 주식의 가격변동으로 인한 손실위험에 노출됩니다. 또한, 투자신탁재산의 가치는 투자대상종목 발행회사의 영업환경, 재무상황 및 신용상태의 악화에 따라 급격히 변동될 수 있습니다. 환율변동위험 이 투자신탁은 해외투자로 인한 환율변동위험에 대해 환율변동위험 제거를 위한 환헷지 전략을 기본적으로 실시하지 않을 계획이므로 환율변동에 따른 위험에 노출되어 있습니다. 액티브 ETF 투자위험 이 집합투자기구는 유가증권시장 상장규정 제113조에 따른 액티브상장지수펀드로 상장지수펀드의 순자산가치의 변화를 가격 및 지수의 변화를 초과하도록 운용하는 것을 목표로 합니다. 즉, 이 투자신탁은 1좌당 순자산가치의 일간 변동률과 비교지수의 일간 변동률이 유사하도록 추종하는 것을 그 목적으로 하는 기존의 상장지수펀드(이하”ETF”라 한다)와 달리 투자신탁재산의 운용방식을 비교지수 대비 초과성과를 목표로 운용하는 것을 목표로 하는 액티브ETF입니다. 따라서 이 투자신탁은 투자신탁을 운용하는 담당매니저의 재량으로 운용되는 투자신탁이며 비교지수의 성과와 다른 성과가 실현될 수 있습니다. 추적오차 및 상관계수 위험 이 집합투자기구는 추적대상 지수와 유사한 수익률 실현을 목적으로 운용되는 ETF가 아니기 때문에 별도의 추적오차 위험이 존재하지 않습니다. 다만, 유가증권시장 상장 규정에 따라 ETF(상장일부터 1년이 경과하지 아니한 ETF는 제외)의 1좌당 순자산가치의 일간변동률과 ETF 비교지수 일간변동률의 상관계수가 0.7 미만이 되어 3개월간 계속되는 경우 상장폐지 대상이 되므로 이에 해당하지 않도록 ETF와 비교지수의 상관계수를 관리할 예정입니다. 평가시차에 따른 순자산가치와 추정 순자산가치간 괴리 위험 기초지수는 구성종목의 당일 종가를, 추정 순자산가치(iNAV)의 경우 당일 한국 증시 변동은 실시간으로 반영하여 산출, 순자산가치(NAV)의 경우는 한국 상장 종목은 당일 종가를, 미국/유럽 등 글로벌 상장 종목은 전일 종가를 이용해 산출되므로 평가시차가 존재하기 때문에 괴리가 발생 할 수 있습니다. 특정 업종 주식 집중 투자에 따른 위험 이 투자신탁은 기후테크인프라라는 특정한 주제를 가지고 투자하는 펀드입니다. 그러므로 특정한 업종에 집중적으로 투자하기 때문에 특정 업종의 성과에 따라 투자신탁의 성과가 좌우될 수 있습니다. 또한 해당 업종의 급격한 변동에 따라서 최초 목적한 투자목적과는 다르게 급격한 가격변동 위험에 처할 수 있으며 경우에 따라서는 심각한 원본의 손실을 입을 수 있습니다. 장중 포트폴리오 교체매매에 대한 위험 이 투자신탁재산의 운용방식은 비교지수 대비 초과성과를 목표로 운용하는 것을 목표로 하는 액티브ETF임에 따라 필요시 장중 포트폴리오 교체 매매가 발생할 수 있고, 이 경우 추정 순자산가치(iNAV) 및 LP호가에 매매내역이 미반영될 위험이 있습니다. 키워드 기반 지수 산출 관련 위험 이 투자신탁의 비교지수는 사업보고서, 조사분석자료 등에서 지수산출업자가 선정한 테마 관련 키워드를 바탕으로 관련도가 높은 종목을 우선적으로 선정합니다. 그러므로 해당 테마 내 선정된 종목의 시장점유율, 매출액 등 실제 실적과는 괴리가 발생할 위험이 있으며, 각 기업의 주가 및 재무정보를 기초로 편입 종목을 선정하는 비교지수를 추종하는 투자신탁보다 더 높은 위험을 부담할 수 있습니다."
