항목,내용
한글명,1Q 현대차그룹채권(A+이상)&국고통안
영문명,1Q HMC Group Bond(A+)&KTB/MSB
표준코드,KR7492500004
종목코드,492500
상장일,2024-10-02
펀드형태,수익증권형
기초지수명,KIS 하나 현대차그룹채권(A+이상)&국고통안 총수익지수
추적배수,일반 (1)
자산운용사,하나자산운용(주)
지정참가회사(AP),"하나, 키움, LS"
총보수(%),0.1
회계기간,"매년 1월 1일부터 12월 31일까지. 단, 최초 회계기간은 최초설정일로부터 당해연도 12월 31일까지"
과세유형,배당소득세(보유기간과세)
분배금 지급일,"회계기간 종료일(다만, 회계기간 종료일이 영업일이 아닌 경우 그 직전 영업일)"
홈페이지,www.1qetf.com
www.1qetf.com,www.1qetf.com
기초 시장,(국내) (주식외) (-)
기초 자산,(채권) (혼합) / (-) (단기) / (-)
기본 정보,"이 투자신탁은 KIS 하나 현대차그룹채권(A+이상)&국고통안 총수익지수를 기초지수로 하여투자신탁의 순자산가치의 변동률을 기초지수의 변동률과 유사하도록 투자신탁재산을 운용하는 것을 목적으로 합니다. KIS 하나 현대차그룹채권(A+이상)&국고통안 총수익지수는 발행잔액이 500억 이상이며 잔존만기 5년 이하, A+등급 이상인 현대차그룹 계열사가 발행한 채권과 잔존만기 3개월 이내 국고/통안채를 바스켓으로 구성됩니다."
투자유의사항,"이 투자신탁은 기초지수와 동일한 수익률을 실현함을 그 투자목적으로 하고 있으나, 투자신탁보수 및 위탁매매수수료 등 관련 비용의 지출 등 현실적 제한으로 인하여 기초지수와 동일한 수익률이 실현되지 아니할 가능성이 있습니다.  이 투자신탁은 특정 그룹에 속하는 채권에 주로 투자하며 다양한 섹터와 기업에 투자하는 일반적인 채권형 집합투자기구 보다 더 높은 신용위험을 부담할 가능성이 높습니다. 참고로, 특정 그룹의 경영 환경 등은 급격하게 변동할 수 있으며, 동일 그룹의 모든 기업에 부정적인 영향을 미칠 수 있습니다. 상품에 대한 자세한 내용은 자산운용사 홈페이지 (http://www.1qetf.com) 또는 금융감독원 전자공시시스템의 투자설명서를 통해 확인하시기 바랍니다."
