항목,내용
한글명,SOL 미국500타겟커버드콜액티브
영문명,SOL US 500 Target Covered Call Active
표준코드,KR7494210008
종목코드,494210
상장일,2024-10-15
펀드형태,수익증권형
기초지수명,KEDI 미국퀄리티500+월1%프리미엄 지수(NTR)
추적배수,일반 (1)
자산운용사,신한자산운용 주식회사
지정참가회사(AP),"NH투자증권, 미래에셋증권, 신한투자증권, 키움증권, 한국투자증권"
총보수(%),0.35
회계기간,"매년 1월 1일부터 12월 31일까지. 단, 최초 회계기간은 최초설정일로부터 당해연도 12월 31일까지"
과세유형,배당소득세(보유기간과세)
분배금 지급일,매월 마지막 영업일
홈페이지,http://www.soletf.com
http://www.soletf.com,http://www.soletf.com
기초 시장,(해외) (북미) (미국)
기초 자산,(주식) (전략) / (-) (구조화) / (-)
