항목,내용
한글명,KOSEF 인도Nifty50(합성)
영문명,KOSEF SYNTH-INDIA
표준코드,KR7200250009
종목코드,200250
상장일,2014-06-26
펀드형태,수익증권형
기초지수명,Nifty 50 Index
추적배수,일반 (1)
자산운용사,키움투자자산운용(주)
지정참가회사(AP),"신한금융투자증권(주), 우리투자증권(주), 키움증권(주), 한국투자증권(주)"
총보수(%),0.29
회계기간,"매년 1월 1일부터 12월 31일까지. 단, 최초 회계기간은 최초 설정일로부터 2014년 12월 31일까지"
과세유형,배당소득세(보유기간과세)
분배금 지급일,투자신탁회계기간 종료일(회계기간 종료일이 영업일이 아닌 경우 회계기간 종료일의 직전 영업일)
홈페이지,http://www.kosef.com
http://www.kosef.com,http://www.kosef.com
기초 시장,(해외) (아시아) (인도)
기초 자산,(주식) (시장대표) / (-) (-) / (-)
기본 정보,"이 투자신탁은 1좌당 순자산가치의 변동률을 기초자산인 “CNX Nifty Index “의 변동률과 유사하도록 운용하기 위해 해당 기초자산의 성과와 유사하게 연동되는 장외파생상품에 주로 투자하되 투자신탁재산의 일부를 기초자산의 성과에 유사하게 연동되는 외국 ETF 및 선물에도 투자하여 포트폴리오를 구성할 예정입니다. CNX Nifty Index는 인도거래소(NSE)의 대표적인 지수로서, 인도거래소에 상장된 주식 중 시가총액이 크고 유동성이 풍부한 우량주로 구성됩니다. CNX Nifty Index는 50종목으로 구성되며, 유동비율 시가총액 가중방식으로 산출됩니다. 이 ETF는 환헤지 전략을 수행하고 있습니다. 그러나 환헤지 전략의 수행에도 불구하고, 급격한 환율변동에 따라 외환 손실이 발생할 수 있습니다."
투자유의사항,"이 투자신탁은 거래상대방과의 계약을 통한 합성상장지수집합투자기구로서 장외파생상품을 중요한 운용수단으로 하여 기초자산의 수익률을 추종합니다. 이에 따라 거래상대방의 자격요건과 위험관리 및 담보관리 등을 관리하고 있으며, 해당 관련 상품의 계속성에 중대한 영향을 미칠 수 있으면 상장폐지의 사유가 될 수 있습니다. 이 ETF의 수익률은 보수 또는 비용 등 이 ETF의 순자산가치에 부의 영향을 미치는 다양한 이유로 인하여 기초자산 수익률과 괴리(추적오차)가 발생할 수 있습니다. 개인투자자는 보유 ETF를 거래소에서 매도하는 방법으로만 현금화가 가능하므로 보유수익증권을 판매회사 또는 지정참가회사에 환매 신청할 수 없으며, 거래소의 거래 상황에 따라 동 ETF의 순자산가치와 거래가격이 다르게 형성될 수 있습니다. 상품에 대한 자세한 내용은 집합투자업자 인터넷홈페이지(http://www.KOSEF.COM) 또는 금융감독원 전자공시시스템(http://dart.fss.or.kr)에서 확인 가능합니다."
