항목,내용
한글명,TIGER 경기방어채권혼합
영문명,TIGER CON GOODS BAL
표준코드,KR7237440003
종목코드,237440
상장일,2016-01-27
펀드형태,수익증권형
기초지수명,경기방어소비재 채권혼합 지수
추적배수,일반 (1)
자산운용사,미래에셋자산운용(주)
지정참가회사(AP),"미래에셋증권, KB투자증권"
총보수(%),0.18
회계기간,"매년 1월 1일부터 12월 31일까지. 단, 최초 회계기간은 최초 설정일로부터 2015년 12월 31일까지"
과세유형,배당소득세(보유기간과세)
분배금 지급일,"매 6월, 12월의 지수 구성종목의 이자지급일 전영업일(다만, 이자지급일이 영업일이 아닌 경우 실제 이자수령일을 이자지급일로 함)"
홈페이지,http://www.tigeretf.com
http://www.tigeretf.com,http://www.tigeretf.com
기초 시장,(국내) (주식외) (-)
기초 자산,(혼합자산) (주식+채권) / (-) (-) / (-)
기본 정보,"이 ETF는 국내 채권 및 채권관련 집합투자증권을 주된 투자대상자산으로 하고 국내 주식 및 주식관련 집합투자증권에도 일부 투자하며, ""필수소비재 채권혼합 지수"" 수익률 추종을 목적으로 합니다.  한국거래소가 발표하는 “필수소비재 채권혼합 지수”는 한국거래소가 발표하는 주가지수인 “코스피 200 필수소비재 지수” 및 채권지수인 “KTB지수”의 비중을 매일 3:7로 하여 산출됩니다. “코스피 200 필수소비재 지수”는 코스피 200 지수 구성종목 중, “생활소비재” 및 “건강관리”에 속하는 종목으로 구성된 지수이며, “KTB지수”는 국고채3년 선물의 기초자산이 되는 바스켓 3종목으로 구성된 지수입니다."
투자유의사항,"이 ETF의 수익률은 보수 또는 비용 등 이 ETF의 순자산가치에 부의 영향을 미치는 다양한 이유로 인하여 기초지수 수익률과 괴리(추적오차)가 발생할 수 있습니다.  개인투자자는 보유 ETF를 거래소에서 매도하는 방법으로만 현금화가 가능하므로 보유수익증권을 판매회사 또는 지정참가회사에 환매 신청할 수 없으며, 거래소의 거래 상황에 따라 동 ETF의 순자산가치와 거래가격이 다르게 형성될 수 있습니다.  상품에 대한 자세한 내용은 집합투자업자 인터넷 홈페이지(http://www.tigeretf.com) 또는 금융감독원 전자공시시스템의 투자설명서를 통해 확인하시기 바랍니다."
