항목,내용
한글명,PLUS 글로벌AI인프라
영문명,PLUS Global AI Infrastructure
표준코드,KR7489010009
종목코드,489010
상장일,2024-08-13
펀드형태,수익증권형
기초지수명,Solactive Global AI Infrastructure Index (PR)
추적배수,일반 (1)
자산운용사,한화자산운용
지정참가회사(AP),"메리츠증권, 한국투자증권, 신한투자증권, 미래에셋증권"
총보수(%),0.45
회계기간,"매년 1월 1일부터 12월 31일까지. 단, 최초 회계기간은 최초설정일로부터 당해연도 12월 31일까지"
과세유형,배당소득세(보유기간과세)
분배금 지급일,"1, 4, 7, 10월의 마지막 영업일 및 회계기간 종료일. 단, 투자신탁 회계기간 종료일이 영업일이 아닌 경우 그 직전 영업일"
홈페이지,http://www.plusetf.co.kr
http://www.plusetf.co.kr,http://www.plusetf.co.kr
기초 시장,(해외) (글로벌) (-)
기초 자산,(주식) (업종섹터) / (-) (업종테마) / (-)
기본 정보,"이 투자신탁은 주식을 법 시행령 제94조제2항제4호에서 규정하는 주된 투자대상자산으로 하며, 1좌당 순자산가치의 일간변동률을 “Solactive Global AI Infrastructure Index (원화환산)”의 1배수와 유사하도록 투자신탁재산을 운용함을 그 목적으로 합니다. 또한, 이 투자신탁은 외화표시 자산에의 투자에 따른 환율변동위험을 제거하기 위한 환헤지 전략을 기본적으로 실시하지 않으므로, 해당 외화표시 자산 투자에 따른 환율변동위험에 노출됩니다."
투자유의사항,"이 투자신탁은 집합투자기구의 운용실적에 따라 손익이 결정되는 실적배당상품으로 예금자보호법에 따라 보호되지 않으므로 투자원본을 보장하지 않습니다. 따라서 투자원본의 전부 또는 일부에 대한 손실의 위험이 존재하며 투자금액의 손실 내지 감소의 위험은 전적으로 투자자가 부담하며, 집합투자업자나 판매회사 등 어떤 당 사자도 투자손실에 대하여 책임을 지지 아니합니다. 주식의 가치는 일반적으로 발행회사 고유의 위험뿐만 아니라 여러 가지 거시경제지표의 변화에 따라서도 급변할 수 있습니다. 특히 주식은 다른 여타의 자산보다 그 변동성이 큰 특징이 있으며, 이로 인해 주식투자 시에는 투자원금의 손실 가능성이 매우 큰 위험이 있습니다. 이 투자신탁은 환율변동위험 제거를 위한 환헤지 전략을 실행하지 않습니다. 따라서 투자자는 외국통화에의 투자에 따른 환율변동위험에 100% 노출됩니다. 이는 해당 외화자산인 투자자산의 가치가 상승함에도 불구하고 원화(KRW)와 해당국가 통화간 상대적 가치의 변화로 인해 투자시 수익을 얻지 못하거나 원금의 손실이 발생할 수도 있음을 의미합니다. 예를 들어 원화의 가치가 외국통화에 비하여 상대적으로 더 높아지면, 외화자산인 투자자산의 가치는 원화가치로 환산했을 때 낮아집니다. 이러한 환율변동위험을 회피하고자 하는 투자자께서는 투자금액을 고려하시어 이 집합투자기구와는 별도로 환헤지 방안을 강구하셔야 합니다. 이 투자신탁의 기초지수는 사업보고서, 조사분석자료 등에서 지수산출업자가 선정한 테마 관련 키워드를 바탕으로 관련도가 높은 종목을 선정합니다. 그러므로 해당 테마 내 선정된 종목의 시장점유율, 매출액 등 실제 실적과는 괴리가 발생할 위험이 있습니다.  이 투자신탁은 법령이 허용하는 한도 내에서 소수 종목에 선별적으로 집중 투자할 수 있으며 이에 따라 변동성 및 일부 종목의 집합투자기구에 미치는 영향력이 동일 유형의 일반적인 집합투자기구 혹은 해당 시장에 비하여 상대적으로 클 수 있습니다. 이 투자신탁은 일부 산업에 속하는 증권에 선별적으로 집중 투자할 수 있으며 이에 따라 변동성 및 투자한 특정 섹터의 위험이 미치는 영향력이 동일유형의 일반적인 집합투자기구 혹은 해당 시장에 비하여 상대적으로 클 수 있습니다. 이 투자신탁의 추적대상지수 구성종목은 해외거래소에 상장되어 거래되므로 한국거래소와는 거래시간 및 거래일에 차이가 있습니다. 이러한 차이는 집합투자기구의 순자산가치와 시장가격 사이의 괴리를 확대시킬 수 있음에 유의하시기 바랍니다. 투자 의사를 결정하기 전에 반드시 자산운용사 홈페이지 (http://www.plusetf.co.kr/) 또는 금융감독원 전자공시시스템의 투자설명서를 읽어보시기 바랍니다."
