항목,내용
한글명,FOCUS AI코리아액티브
영문명,FOCUS AI KOREA Active
표준코드,KR7448570002
종목코드,448570
상장일,2022-11-15
펀드형태,수익증권형
기초지수명,코스피지수
추적배수,일반 (1)
자산운용사,브이아이자산운용 주식회사
지정참가회사(AP),"신한투자증권, 신영증권, 한화투자증권, NH투자증권, 메리츠증권"
총보수(%),0.455
회계기간,"투자신탁의 최초설정일부터 해당년도 12월 31일까지, 이후 회계기간은 매년 01월 01일부터 12월 31일."
과세유형,배당소득세(보유기간과세)
분배금 지급일,"매 1월, 4월, 7월, 10월의 마지막 영업일 및 투자신탁 회계기간 종료일, 단, 회계기간 종료일이 영업일이 아닐 경우 그 직전 영업일"
홈페이지,www.viamc.kr
www.viamc.kr,www.viamc.kr
기초 시장,(국내) (코스피) (-)
기초 자산,(주식) (시장대표) / (-) (-) / (-)
기본 정보,"이 투자신탁은 국내주식을 법 시행령 제94조제2항제4호에서 규정하는 주된 투자대상자산으로 하며 “KOSPI 지수”를 비교지수로 하여 1좌당 순자산가치의 변동률이 비교지수의 변동률을 초과하도록 투자신탁재산을 운용함을 목적으로 합니다. 한국거래소가 발표하는 'KOSPI 지수’를 비교지수로 하는 상장지수투자신탁(주식형 액티브 ETF)입니다. 한국거래소에 상장된 주식에 투자신탁 자산총액의 99% 이상 투자하여 비교지수와의 상관계수 0.7 이상을 유지하도록 관리할 계획이며, 보수차감 전 펀드의 수익률이 비교지수 수익률을 상회하는 것을 목표로 운용할 예정입니다."
투자유의사항,"- 이 투자신탁은 실적배당상품으로 투자원리금 전액이 보장 또는 보호되지 않습니다. 따라서 투자원본의 전부 또는 일부에 대한 손실의 위험이 존재하며 투자금액의 손실 내지 감소의 위험은 전적으로 투자자가 부담하며, 집합투자업자나 판매회사 등 어떤 당사자도 투자손실에 대하여 책임을 지지 아니합니다. 또한, 이 투자신탁은 「예금자보호법」의 적용을 받는 은행의 예금과 달리 실적에 따른 수익을 취득하므로 은행 등에서 판매하는 경우에도「예금자보호법」에 따라 예금보험공사가 보호하지 않습니다. - 이 투자신탁은 증권시장에 상장되어 거래되는 주식 등에 주로 투자하기 때문에 동 주식의 가격변동으로 인한 손실위험에 노출됩니다. 또한, 투자신탁재산의 가치는 투자대상종목 발행회사의 영업환경, 재무상황 및 신용상태의 악화에 따라 급격히 변동될 수 있습니다. - 이 투자신탁은 유가증권시장 상장규정 제113조에 따른 액티브 상장지수펀드로 상장지수펀드의 순자산가치의 변동률이 비교지수의 변동률을 초과하도록 운용하는 것을 목표로 합니다. 즉, 이 투자신탁은 1좌당 순자산가치의 일간 변동률과 비교지수의 일간 변동률이 유사하도록 추종하는 것을 그 목적으로 하는 기존의 상장지수펀드(이하 ""ETF""라 한다)와 달리 투자신탁재산의 운용방식을 비교지수 대비 초과성과를 목표로 운용하는 것을 목표로 하는 액티브 ETF입니다. 따라서 이 투자신탁은 비교지수의 성과와 다른 성과가 실현될 수 있습니다. - 이 투자신탁은 추적대상 지수와 유사한 수익률 실현을 목적으로 운용되는 ETF가 아니기 때문에 별도의 추적오차 위험이 존재하지 않습니다. 다만, 유가증권시장 상장규정에 따라 ETF(상장일로부터 1년이 경과하지 아니한 ETF는 제외)의 1좌당 순자산가치의 일간변동률과 ETF비교지수 일간변동률의 상관계수가 0.7 미만이 되어 3개월간 계속되는 경우 상장폐지 대상이 될 수 있습니다. - 이 투자신탁은 국내주식에 주로 투자하며 자문계약사인 옵투스자산운용이 알고리즘 및 AI를 통하여 제시한 포트폴리오 및 비중을 고려하여 최종 투자종목과 종목별 비중을 결정하여 투자합니다. 이처럼 포트폴리오 구성은 데이터에 기반한 포트폴리오 구성 프로그램에 의해 기계적으로 구성되기에 좀 더 분산 투자된 다른 투자신탁에 비해 더 큰 투자원금 손실이 발생할 수 있습니다 - 증권시장규모 등을 감안할 때 집합투자재산에서 거래량 이 풍부하지 못한 종목에 투자하는 경우 투자대상 종목의 유동성 부족에 따른 환금성 제약이 발생할 수 있습니다. 또 한 매매과정에서 거래량 부족으로 호가 차이가 크게 발생 하는 경우 공정한 가격으로 정상적인 거래가 이루어지지 못할 수도 있으며 이는 집합투자재산의 가치하락을 초래할 수 있습니다. - 유가증권시장 상장규정에 따라 이 투자신탁 1좌당 순자 산가치의 일간변동률과 이 투자신탁의 비교지수 일간변동 률의 상관계수가 일정수준 미만으로 3개월간 지속되는 경 우, 유동성공급자가 관련 규정에서 정하는 수 미만인 경우, 집합투자업자가 고의, 중과실 또는 상습적으로 신고의무를 위반한 경우, 법 제192조제1항 또는 제2항에 따른 투자신탁 의 해지사유에 해당하는 경우, 그 밖에 공익과 투자자보호 를 위하여 한국거래소가 당해 집합투자증권의 상장폐지가 필요하다고 인정되는 경우, 한국거래소에서의 월평균 거래 량이 일정 수준에 미달하는 경우 등 관련규정에 해당하는 경우 이 투자신탁의 상장을 폐지하여야 합니다. 또한, 지수 산출기관이 지수발표를 중단하게 되는 등의 이유로 이 투 자신탁이 목표로 하는 지수를 산정할 수 없거나 이용할 수 없게 되는 경우도 이 투자신탁은 상장이 폐지될 수 있습니 다. 이 경우 투자신탁의 신탁계약은 해지되고 잔여재산을 분배할 것이나, 잔여재산 분배시까지의 기간 동안에는 유통 시장을 통한 집합투자증권의 현금화가 어려워질 가능성이 있습니다. - 이 투자신탁은 옵투스자산운용의 알고리즘 및 AI에 따라 투자합니다. 당사는 선관주의의무를 다 할 것이나 그럼에도 불구하고 계약상대방의 영업 인가 정지, 파산절차 등에 따라 자문계약이 해지로 인해 이 투자신탁을 유지할 수 없는 상황이 발생할 수 있습니다. 이러한 경우에 당사는 투자전략을 유지하기 위해 노력할 것이나 그럼에도 불구하고 이 투자신탁의 투자전략을 유지할 수 없는 경우 상장이 폐지될 수 있습니다."
