항목,내용
한글명,RISE TDF2030액티브
영문명,RISE TDF2030 Active
표준코드,KR7442550000
종목코드,442550
상장일,2022-09-22
펀드형태,수익증권형
기초지수명,iSelect 전략적자산배분 TDF 2030 지수
추적배수,일반 (1)
자산운용사,케이비자산운용(주)
지정참가회사(AP),"KB증권, 키움증권, 한국투자증권, 메리츠증권"
총보수(%),0.01
회계기간,"매년 1월 1일부터 12월 31일까지. 단, 최초 회계기간은 최초설정일로부터 당해연도 12월 31일까지"
과세유형,배당소득세(보유기간과세)
분배금 지급일,"1, 4, 7, 10월 마지막 영업일 및 회계기간 종료일(다만, 회계기간 종료일이 영업일이 아닌 경우 그 직전 영업일)"
홈페이지,http://www.kbstaretf.com
http://www.kbstaretf.com,http://www.kbstaretf.com
기초 시장,(국내&해외) (-) (-)
기초 자산,(기타) (-) / (-) (-) / (-)
기본 정보,"이 투자신탁은 NH투자증권이 산출 및 발표하는 “iSelect 전략적자산배분 TDF 2030 지수”를 비교지수로 하여 투자신탁의 순자산가치의 변화를 비교지수 대비 초과하도록 신탁재산을 운용하는 것을 목적으로 하는 액티브주식 상장지수집합투자기구입니다.  iSelect 전략적자산배분 TDF 2030 지수는 은퇴 시점을 겨냥하여 위험자산과 안전자산 비중을 자산배분곡선(Glide Path)에 따라 자동으로 조정하는 TDF(Target Date Fund)형 전략적 자산배분 포트폴리오 지수로 글로벌 주식, 채권, 원자재, 대체투자 등 다양한 자산군을 추종하는 ETF로 분산 투자하여 자산배분 효과 극대화를 추구하는 지수입니다.  ETF의 설정단위는 50,000좌이며, 현금설정 방식으로 이루어집니다. 한국거래소를 통하여 매매하는 경우에는 1주 단위로 거래할 수 있습니다."
투자유의사항,"이 투자신탁은 국내 및 해외 ETF를 주된 투자대상으로 비교지수 대비 초과성과를 추구합니다. 따라서 비교지수와 동일한 수익률을 실현함을 목적으로 하는 기존의 ETF와 달리 비교지수대비 높은 추적오차가 발생할 수 있습니다. 이러한 추적오차는 시장의 변동에 적극적으로 대응하여 비교지수대비 높은 성과를 추구하는 이 집합투자기구의 투자목적에 따른 운용상의 결과이며, 지수와의 괴리율은 매일 공 고되는 추적오차율 공고를 통해 확인하실 수 있습니다. 다만, 이 집합투자기구는 비교지수와의 상관계수를 0.7 이상으로 관리하여 비교지수와의 성과괴리를 일정수준 이내로 관리할 예정입니다.  상품에 대한 자세한 내용은 자산운용사 홈페이지 (http://www.kbstaretf.com) 또는 금융감독원 전자공시시스템 의 투자설명서를 통해 확인하시기 바랍니다."
