항목,내용
한글명,PLUS 코스닥150선물인버스
영문명,PLUS KOSDAQ150 Futures Inverse
표준코드,KR7301410007
종목코드,301410
상장일,2018-07-11
펀드형태,수익증권형
기초지수명,F-코스닥150 인버스지수
추적배수,1X 인버스 (-1)
자산운용사,한화자산운용
지정참가회사(AP),"SK증권, KB증권, 메리츠증권, 유진투자증권"
총보수(%),0.29
회계기간,"최초 회계기간은 투자신탁의 최초설정일부터 해당년도 12월 31일까지로 하고, 그 이후 회계기간은 매년 1월 1일부터 12월 31일까지로 한다"
과세유형,배당소득세(보유기간과세)
분배금 지급일,"1, 4, 7, 10월의 마지막 영업일 및 회계기간 종료일"
홈페이지,http://www.arirangetf.com/
http://www.arirangetf.com/,http://www.arirangetf.com/
기초 시장,(국내) (코스닥) (-)
기초 자산,(주식) (시장대표) / (-) (-) / (-)
기본 정보,"- 이 투자신탁은 국내 주식을 법 시행령 제94조 제2항 제4호에서 규정하는 주된 투자대상자산으로 하며, “KOSDAQ150선물 지수""를 추적대상지수로 하여 1좌당 순자산가치의 변동률을 음(陰)의 1배(-1배수)와 유사하도록 투자신탁재산을 운용하는 것을 목적으로 합니다. - 투자신탁의 기초지수인 F-KOSDAQ150(코스닥150선물)지수는 한국거래소에서 실시간으로 산출하고 있는 지수입니다. - F-KOSDAQ150(코스닥150선물)지수는 KOSDAQ150 선물시장에 상장된 최근월물종목을 이용하여 산출하는 지수입니다. 다만, 최근월물종목의 이용과 관련하여 가장 먼저 도래하는 최종거래일의 직전 3거래일부터 직전 거래일까지는 최근월물종목과 차근월물종목을 이용하고, 최종거래일에는 차근월물종목을 이용하여 산출합니다."
투자유의사항,"- 이 투자신탁은 집합투자기구의 운용실적에 따라 손익이 결정되는 실적배당상품으로 예금자보호법에 따라 예금보험공사가 보호하지 아니하며 원본을 보장하지 않습니다. 따라서 투자원본의 전부 또는 일부에 대한 손실의 위험이 존재하며 투자금액의 손실 내지 감소의 위험은 전적으로 투자자가 부담하며, 집합투자업자나 판매회사 등 어떤 당사자도 투자손실에 대하여 책임을 지지 아니합니다. - 이 투자신탁은 추적대상 지수의 일간변동률의 -1배수와 유사하도록 운용하는 것을 그 투자목적으로 하고 있으나, 일시적인 가격 변동, 투자신탁보수, 위탁매매수수료, 지수 사용료, 상장수수료 등 관련 비용의 지출 등 현실적 제한으로 인하여 추적대상 지수와 동일한 수익률이 실현되지 아니할 가능성이 있습니다. - 이 투자신탁은 일간 단위로 추적대상지수 수익률의 음(陰)의 1배(-1배수)를 추구하는 것을 의미하며 투자기간 전체에 대해 누적하여 음(陰) 1배(-1배수)를 추구할 수 있다는 것을 의미하지 않습니다. 특히 시장 변동성이 높아지는 경우, 복리효과로 인해 장기 투자수익률은 기초지수 일간변동률의 음(陰)의 1배(-1배수)의 누적수익률보다 축소될 수 있습니다. 이러한 현상은 변동성이 증가할수록 더욱 나타납니다. 따라서 2영업일 이상의 투자신탁 수익률은 기초지수의 성과뿐만 아니라, 기초지수의 변동성, 기타 투자신탁 운용에 소요되는 비용, 투자대상자산으로부터의 배당 및 투자기간 등이 반영되어 산출 될 수 있습니다. - 이 투자신탁의 기초지수는 한국거래소에 상장된 코스닥150선물의 최근월물을 기초자산으로 하는 F-KOSDAQ150(코스닥150선물)지수입니다. 동 기초지수는 한국거래소에 상장되어 있는 주식을 구성종목으로 편입하고 있는 현물지수인 코스닥150 지수와는 다른 지수이기 때문에 당해 투자신탁의 일간 수익률 또한 코스닥150 지수의 일간 수익률과는 차이가 있습니다. 따라서 현물지수인 코스닥150지수가 하락하더라도 선물지수인 F-코스닥150지수가 덜 하락하거나 오히려 상승 할 경우 이 투자신탁의 가치는 덜 상승하거나 오히려 하락 할 수 있습니다. - 이 투자신탁은 F-코스닥150지수의 일간 변동률의 음(陰)의 1배(-1배수)로 연동하여 투자신탁재산을 운용함을 목적으로 하고 있으므로, 시간이 경과함에 따라 투자신탁에 영향을 주는 다양한 요인에 의해 누적적으로 F-코스닥150지수 누적수익률의 음(陰)의 1배(-1배수)를 추적하지 못할수도 있습니다. 즉, 일시적으로 또는 지속적으로 이 투자신탁과 F-코스닥150지수의 누적수익률간의 양(+)의 상관관계가 나타날 수도 있습니다. - 개인투자자는 보유 ETF를 거래소에서 매도하는 방법으로만 현금화가 가능하므로 보유수익증권을 판매회사 또는 지정참가회사에 환매 신청할 수 없으며, 거래소의 거래 상황에 따라 동 ETF의 순자산가치와 거래가격이 다르게 형성될 수 있습니다. - 관련 규정에서 정하는 한도를 초과하여 추적오차가 발생하고 이것이 일정기간 이상 지속되는 경우, 기초지수를 산정할 수 없거나 이용할 수 없게 되는 경우, 기타 유가증권시장 상장규정에 따라 상장폐지가 필요하다고 인정되는 경우 상장이 폐지될 수 있습니다. - 투자 의사를 결정하기 전에 반드시 자산운용사 홈페이지 (http://www.arirangetf.com/) 또는 금융감독원 전자공시시스템의 투자설명서를 읽어 보시기 바랍니다."
