항목,내용
한글명,SOL 미국S&P500엔화노출(H)
영문명,SOL US S&P500 JPY(H)
표준코드,KR7499150001
종목코드,499150
상장일,2024-12-03
펀드형태,수익증권형
기초지수명,S&P500 Yen Hedged Index(PR)
추적배수,일반 (1)
자산운용사,신한자산운용 주식회사
지정참가회사(AP),"메리츠증권, 미래에셋증권, 삼성증권, 키움증권, 한국투자증권"
총보수(%),0.15
회계기간,"매년 1월 1일부터 12월 31일까지. 단, 최초 회계기간은 최초설정일로부터 당해연도 12월 31일까지"
과세유형,배당소득세(보유기간과세)
분배금 지급일,"매 1,4,7,10월의 마지막영업일 및 회계기간 종료일(종료일이 영업일이 아닌 경우 종료일의 직전영업일)"
홈페이지,http://www.soletf.com
http://www.soletf.com,http://www.soletf.com
기초 시장,(해외) (북미) (미국)
기초 자산,(주식) (시장대표) / (-) (-) / (-)
기본 정보,"이 투자신탁은 법 시행령 제 92조 2항제 4호에서 규정하는 주된 투자대상자산으로 하며 S&P Dow Jones Indices가 산출하는‘S&P500 Yen Hedged Index(PR: Price Return)(원화환산)’지수를 기조지수로 하여 기조지수 수익률의 정배수를 추적하는 것을 목표로 하는 상품입니다. 이 투자신탁은 투자 목적 달성을 위해서 기초지수의 구성종목인 미국에 상장된 주식, 주식관련 집합투자증권 및 주식관련 파생상품에 60% 이상을 투자합니다. 또한, 이 투자신탁의 최종 노출 통화는 원화 대비 엔화이며, 원화 대비 일본 엔화의 환율변동에 대한 별도의 환헤지 전략을 실행하지 않습니다. 다만, 이 투자신탁의 주요 투자 자산은 미국 주식이므로 투자자산에 노출 된 미국 달러 환율변동 노출 최소화를 위하여 일본 엔화 대비 미국 달러 변동에 대해서는 별도의 환헤지 전략을 실행합니다. 따라서, 이 투자신탁의 가치는 원화 대비 엔화의 환율변동에 의해 결정됩니다. 해당 ETF투자의 경우 1주당 10,000원(최초 설정시점 기준)으로 투자를 할 수 있습니다. 설정단위는 100,000좌이며, 현물설정 방식으로 이루어집니다. 한국거래소를 통하여 매매하는 경우에는 1주 단위로 거래할 수 있습니다."
