항목,내용
한글명,KOSEF Fn유전자혁신기술
영문명,KOSEF Genetic Innovation Technology
표준코드,KR7460280001
종목코드,460280
상장일,2023-06-27
펀드형태,수익증권형
기초지수명,FnGuide 유전자혁신기술 지수(시장가격)
추적배수,일반 (1)
자산운용사,키움투자자산운용(주)
지정참가회사(AP),"키움증권, 현대차증권, 메리츠증권"
총보수(%),0.4
회계기간,"매년 1월 1일부터 12월 31일까지. 단, 최초 회계기간은 최초설정일로부터 당해연도 12월 31일까지"
과세유형,비과세
분배금 지급일,"1월, 4월, 7월, 10월 마지막 영업일 및 회계기간 종료일(다만, 회계기간 종료일이 영업일이 아닌 경우 그 직전 영업일)"
홈페이지,http://www.kosef.co.kr
http://www.kosef.co.kr,http://www.kosef.co.kr
기초 시장,(국내) (코스피+코스닥) (-)
기초 자산,(주식) (업종섹터) / (-) (헬스케어) / (-)
기본 정보,"1. 이 투자신탁은 국내 주식을 주된 투자대상으로 하며, FnGuide에서 산출 및 발표하는 “FnGuide 유전자혁신기술 지수”를 기초지수로 하여 이 투자신탁 수익증권 1좌당 순자산가치의 변동률을 기초지수의 변동률과 유사하도록 투자신탁재산을 운용하는 것을 목적으로 합니다. 이를 위하여 기초지수를 구성하는 종목 전체를 편입하는 완전복제 전략을 원칙으로 하고 있으며, 기초지수 관련 파생상품 및 상장집합투자증권(ETF) 등을 일부 편입할 수 있습니다. 2. 이 투자신탁의 기초지수는 유가증권 및 코스닥 상장 종목 중 텍스트 마이닝 기술을 종목별 리포트 및 공시보고서에 적용하여 유전자혁신기술 키워드와 유사도 점수가 높은 종목들을 유니버스로 선정합니다. 이후 재무, 섹터 및 유사도 기준을 통과한 종목들을 지수 포트폴리오에 편입해 동일가중 방식으로 비중을 구성한 테마 지수입니다."
투자유의사항,"1. 이 ETF의 수익률은 보수 또는 비용 등 이 ETF의 순자산가치에 부의 영향을 미치는 다양한 이유로 인하여 기초지수 수익률과 괴리(추적오차)가 발생할 수 있습니다. 2. 개인투자자는 보유 ETF를 거래소에서 매도하는 방법으로만 현금화가 가능하므로 보유수익증권을 판매회사 또는 지정참가회사에 환매 신청할 수 없으며, 거래소의 거래 상황에 따라 동 ETF의 순자산가치와 거래가격이 다르게 형성될 수 있습니다."
