항목,내용
한글명,RISE 국채선물10년인버스
영문명,RISE KTB 10Y Fut Inv
표준코드,KR7295020002
종목코드,295020
상장일,2018-05-11
펀드형태,수익증권형
기초지수명,10년국채선물 인버스지수
추적배수,1X 인버스 (-1)
자산운용사,케이비자산운용(주)
지정참가회사(AP),"KB증권,키움증권,메리츠종금증권"
총보수(%),0.05
회계기간,"최초 회계기간: 최초설정일로부터 당해연도 12월 31일까지, 최초 회계기간 이후: 매 1년간"
과세유형,배당소득세(보유기간과세)
분배금 지급일,"회계기간 종료일(다만, 회계기간 종료일이 영업일이 아닌 경우 그 직전 영업일)"
홈페이지,http://www.kbstaretf.com
http://www.kbstaretf.com,http://www.kbstaretf.com
기초 시장,(국내) (주식외) (-)
기초 자산,(채권) (국공채) / (-) (장기) / (-)
기본 정보,"이 투자신탁은 한국거래소가 산출·발표하는 “10년국채선물지수(F-LKTB)”를 기초지수로 하여 기초지수의 일간변동률의 음(陰)의 1배수로 연동하여 투자신탁재산을 운용하는 것을 목적으로 합니다.  10년국채선물지수는 한국거래소의 10년 국채선물시장에 상장된 최근월종목의 가격을 대상으로 산출되는 지수입니다.  ETF의 설정단위는 2,000좌이며, 현금설정 방식으로 이루어집니다. 한국거래소를 통하여 매매하는 경우에는 1주 단위로 거래할 수 있습니다."
투자유의사항,"이 투자신탁은 10년국채선물지수를 기초지수로 하여 1좌당 순자산가치의 변동률을 기초지수의 일간변동률의 음(陰)의 1배수와 유사하도록 운용함을 그 목적으로 합니다. 관련 규정에서 정하는 한도를 초과하여 추적오차가 발생하 고 이것이 일정기간 이상 지속되는 경우, 기초지수를 산정할 수 없거나 이용할 수 없게 되는 경우, 기타 유가증권시장 상 장규정 제 116조 상장폐지 기준에 해당하거나 공익과 투자 자 보호를 위하여 증권시장이 이 투자신탁의 수익증권 폐지 가 필요하다고 인정하는 경우 상장이 폐지될 수 있습니다. 상품에 대한 자세한 내용은 자산운용사 홈페이지 (http://www.kstaretf.com) 또는 금융감독원 전자공시시스템 의 투자설명서를 통해 확인하시기 바랍니다."
