항목,내용
한글명,PLUS 미국테크TOP10레버리지(합성)
영문명,PLUS Top 10 US Tech Leverage(Synth)
표준코드,KR7461910002
종목코드,461910
상장일,2023-07-18
펀드형태,수익증권형
기초지수명,iSelect 미국 Tech 10 레버리지(2X) 지수
추적배수,2X 레버리지 (2)
자산운용사,한화자산운용
지정참가회사(AP),"미래에셋증권, 키움증권"
총보수(%),0.5
회계기간,"매년 1월 1일부터 12월 31일까지. 단, 최초 회계기간은 최초설정일로부터 당해연도 12월 31일까지"
과세유형,배당소득세(보유기간과세)
분배금 지급일,회계기간 종료일(종료일이 영업일이 아닌 경우 종료일의 직전영업일)
홈페이지,http://www.arirangetf.com/
http://www.arirangetf.com/,http://www.arirangetf.com/
기초 시장,(해외) (북미) (미국)
기초 자산,(주식) (업종섹터) / (-) (업종테마) / (-)
기본 정보,"이 투자신탁은 주식관련 파생상품 및 집합투자증권을 법 시행령 제94조제2항제4호에서 규정하는 주된 투자대상자산으로 하며, “iSelect 미국 Tech 10 지수 (원화환산)”을 추적대상지수로 하여 1좌당 순자산가치의 일간변동률을 추적대상지수의 일간변동률의 양(陽)의 2배수로 연동하여 투자신탁재산을 운용함을 목적으로 합니다. * 비교지수: iSelect 미국 Tech 10 레버리지 지수 (원화환산) * 100% 이 투자신탁은 기초지수의 일간변동률의 양(陽)의 2배수의 수익률을 추종함에 있어, 거래상대방과 스왑(Swap)등을 통한 장외파생상품에 투자가 중요한 운용수단인 합성상장지수집합투자증권으로서, 거래상대방의 신용위험 및 담보자산 관리 등에 중점을 두어 관리할 예정입니다. 이 외에도 기초지수 관련 상장지수집합투자증권에도 투자할 수 있습니다."
투자유의사항,"이 투자신탁은 집합투자기구의 운용실적에 따라 손익이 결정되는 실적배당상품으로 예금자보호법에 따라 예금보험공사가 보호하지 아니하며 원본을 보장하지 않습니다. 따라서 투자원본의 전부 또는 일부에 대한 손실의 위험이 존재하며 투자금액의 손실 내지 감소의 위험을 전적으로 투자자가 부담하며, 집합투자업자나 판매회사 등 어떤 당사자도 투자손실에 대하여 책임을 지지 아니합니다. 이 투자신탁은 거래소와 같은 공개시장이 아닌 장외시장에서 거래가 이루어지는 장외파생상품에 주로 투자합니다. 상대적으로 정부의 규제나 감독이 엄격하지 않는 장외시장에서 거래가 이루어짐으로써 거래소의 정산이행보증과 같이 장내거래 참여들에게 제공되는 보호가 제공되지 않습니다. 따라서 장외파생상품에 투자시에는 거래상대방이 파산하거나 신용위기를 경험하는 경우 투자자금 전액회수가 불가능할 수도 있는 위험에 노출됩니다. 또한 거래상대방의 영업환경, 재무상황, 부도처리 및 신용상태의 악화에 따라 투자원금의 전부 또는 일부 손실이 발생될 수 있는 신용위험에 노출되어 있습니다. 이 경우 투자원금 손실과 더불어 투자신탁이 중도에 해지될 수 있습니다. 또한 복수의 거래상대방을 두어 신용위험에 과도하게 노출되었다고 판단되었을 시 거래상대방의 교체 또는 변경을 용이하게 하고자 하는 노력에도 불구하고 신용위험에 따른 투자손실의 위험에 노출됩니다. 거래상대방에 관련된 최신의 신용등급 변동정보와 영업용 순자본비율 등에 대한 정보를 운용사의 웹사이트(www.arirangetf.com)을 통해 확인하여 투자 판단에 참고하여야 합니다. 이 투자신탁은 투자목적 달성을 위해 기초지수 관련 주식을 기초자산으로 하는 파생상품 및 집합투자증권 등을 활용하여 레버리지를 일으켜 이 투자신탁의 일간수익률이 기초지수의 일간수익률의 2배 수준과 유사하도록 운용합니다. 만약 기초지수가 일간 -10%의 수익률을 보인다면 이 투자신탁에 투자한 투자자는 일간 -20% 수준의 손실에 노출됩니다. 따라서 투자자는 기초지수의 하락률보다 더 큰 손실을 볼 수 있으며, 기초지수가 등락을 반복하거나 기초지수의 변동성이 확대되는 경우에는 손실이 더욱 확대될 수 있음에 유의하시기 바랍니다. 이 투자신탁은 매우 높은 위험을 감내할 수 있고 레버리지 효과 및 주식시장의 변동성을 이해하며 재무지식을 보유한 투자자에게 적합한 고위험 상품입니다. 이 투자신탁의 기초자산은 해당 시장이 개장되지 않아 가치변화가 없음에도 원/달러변동에 노출되어 있는 기초자산의 성격상 원/달러 환율의 일중변동에 따라 실시간 추정NAV가 변동되고, 이 변동에 따라 시장에서 거래되는 ETF의 가격이 변동될 수 있습니다. ETF의 거래시 장중 환변동에 유의하여야 합니다. 투자 의사를 결정하기 전에 반드시 자산운용사 홈페이지 (http://www.arirangetf.com/) 또는 금융감독원 전자공시시스템의 투자설명서를 읽어보시기 바랍니다."
