항목,내용
한글명,ACE Fn5G플러스
영문명,ACE Fn5G Plus
표준코드,KR7380340000
종목코드,380340
상장일,2021-04-02
펀드형태,수익증권형
기초지수명,FnGuide 5G플러스 지수 (시장가격)
추적배수,일반 (1)
자산운용사,한국투자신탁운용
지정참가회사(AP),"유진투자증권, 한국투자증권"
총보수(%),0.35
회계기간,가. 최초회계기간: 투자신탁의 최초설정일로부터 2021년 12월 31일까지 / 나. 2022년 1월 1일 이후: 2022년 1월 1일부터 매1년간
과세유형,비과세
분배금 지급일,"매 1,4,7,10월의 마지막영업일 및 투자신탁 회계기간 종료일(단, 회계기간 종료일이 영업일이 아닐 경우 그 직전 영업일)"
홈페이지,http://www.kindexetf.com
http://www.kindexetf.com,http://www.kindexetf.com
기초 시장,(국내) (코스피+코스닥) (-)
기초 자산,(주식) (업종섹터) / (-) (업종테마) / (-)
기본 정보,"· 이 투자신탁은 에프앤가이드(FnGuide)가 발표하는“FnGuide 5G플러스 지수”를 기초지수로 하여 1좌당 순자산가치의 변동률을 기초지수와 유사하도록 투자신탁재산을 운용함을 목적으로 합니다. · 에프앤가이드(FnGuide)가 발표하는 FnGuide 5G플러스 지수는 코스피 국내 유가증권시장 및 코스닥시장 상장종목 중 5G 관련 핵심종목 및 5G 기술과의 융합을 통해 확장되고 있는 트렌트/산업 종목을 선정한 지수로, 2017년 12월 14일을 1000pt 기준으로 2020년 12월 21일부터 발표한 지수입니다."
투자유의사항,"· 이 투자신탁은 5G관련 한정된 주식에 주로 투자하기 때문에 해당 테마 관련 시장상황 등에 따른 위험에 더 많이 노출되어 있습니다. · 단순 5G기술 뿐만 아니라 5G를 통해 확장될 수 있는 융합 기술력 및 산업(사물인터넷, 빅테이터, 클라우드컴퓨팅 등) 관련 종목을 포함하고 있습니다. · 이 투자신탁의 수익률은 다양한 이유(투자신탁 운용과 관련된 제반 비용, 현금배당, 구성종목의 교체/비중변경/부도)로 기초지수인“FnGuide 5G플러스 지수”의 수익률과 괴리(추적오차)가 발생할 수 있습니다. 이 경우 자산운용회사는 추적오차를 최소화하기 위하여 투자신탁 관련비용의 최소화, 추적오차를 감안한 편입 종목수 조정 등의 보완방안을 실행할 예정이나, 불가피하게 최소한의 추적오차가 발생할 가능성이 있음을 유의하셔야 합니다. · 상품에 대한 자세한 내용은 자산운용사 홈페이지(http://www.kindexetf.com/) 또는 금융감독원 전자공시시스템의 투자설명서를 통해 확인하시기 바랍니다."
