항목,내용
한글명,KOSEF 글로벌퓨처모빌리티
영문명,KOSEF Global Future Mobility
표준코드,KR7394350003
종목코드,394350
상장일,2021-07-20
펀드형태,수익증권형
기초지수명,MSCI ACWI IMI 퓨처모빌리티 ESG 지수(시장가격)
추적배수,일반 (1)
자산운용사,키움투자자산운용(주)
지정참가회사(AP),신한금융투자
총보수(%),0.31
회계기간,"최초 회계기간은 투자신탁의 최초설정일로부터 2021년 12월 31일까지로 하며, 그 이후의 회계기간은 직전 회계기간 종료일 익일로부터 매 1 년으로 한다."
과세유형,배당소득세(보유기간과세)
분배금 지급일,"1월, 4월, 7월, 10월 마지막 영업일 및 회계기간 종료일(회계기간 종료일이 영업일이 아닌 경우 그 직전 영업일)"
홈페이지,http://www.kosef.co.kr
http://www.kosef.co.kr,http://www.kosef.co.kr
기초 시장,(국내&해외) (-) (-)
기초 자산,(주식) (업종섹터) / (-) (업종테마) / (-)
기본 정보,"1. MSCI ACWI IMI Future Mobility ESG Filtered Price Return Index를 기초지수로 하며, MSCI ACWI IMI Future Mobility ESG Filtered Net TR Index를 추종하는 Lyxor MSCI Future Mobility ESG Filtered(DR) UCITS ETF를 편입하여 1좌당 순자산가치의 일간변동률이 기초지수 일간변동률에 연동되도록 투자신탁재산을 운용합니다. 2. 기초지수는 글로벌 주식시장을 포함하는 MSCI ACWI IMI Index의 종목들 중에 배터리, 전기차, 자율주행, 공유모빌리티 등 미래 운송수단의 혁명을 주도하고 있는 기업들을 선별해 해당 종목들로 지수를 구성합니다. 종목당 편입비중은 펀더멘털 스코어에 비례하여 결정됩니다."
투자유의사항,"1. 이 ETF의 수익률은 보수 또는 비용 등 이 ETF의 순자산가치에 부의 영향을 미치는 다양한 이유로 인하여 기초지수 수익률과 괴리(추적오차)가 발생할 수 있습니다. 2. 개인투자자는 보유 ETF를 거래소에서 매도하는 방법으로만 현금화가 가능하므로 보유수익증권을 판매회사 또는 지정참가회사에 환매 신청할 수 없으며, 거래소의 거래 상황에 따라 동 ETF의 순자산가치와 거래가격이 다르게 형성될 수 있습니다."
