항목,내용
한글명,RISE 미국장기국채선물인버스(H)
영문명,RISE US T-Bond Futures Inverse(H)
표준코드,KR7267450005
종목코드,267450
상장일,2017-04-20
펀드형태,수익증권형
기초지수명,S&P U.S. Treasury Bond Futures Inverse Index ER
추적배수,1X 인버스 (-1)
자산운용사,케이비자산운용(주)
지정참가회사(AP),"KB, NH, 미래에셋대우"
총보수(%),0.4
회계기간,"매년 1월1일부터 12월31일까지(단, 최초 회계기간은 최초 설정일로부터 2017년12월31일까지)"
과세유형,배당소득세(보유기간과세)
분배금 지급일,"회계기간 종료일(다만, 회계기간 종료일이 영업일이 아닌 경우, 그 직전 영업일)"
홈페이지,http://www.kstaretf.com
http://www.kstaretf.com,http://www.kstaretf.com
기초 시장,(해외) (북미) (미국)
기초 자산,(채권) (국공채) / (-) (장기) / (-)
기본 정보,"이 투자신탁은 S&P U.S. Treasury Bond Futures Excess Return Index를 추적대상지수로 하여 1좌당 순자산가치의 일간변동률이 기초지수 일간변동률의 음(陰)의 1배수에 연동하도록 운용하는 것을 목적으로 합니다. 또한, 미국달러화 노출자산에 대해 환헤지를 하는 상품입니다.  S&P U.S. Treasury Bond Futures Excess Return Index는 by S&P Dow Jones Indices가 산출하는 지수로, 시카고상업거래소(CME)에 상장되어 거래되는 미국채선물(US Treasury Bond Futures) 최근월물 가격으로 구성되는 지수입니다.  ETF의 설정단위는 100,000좌이며, 한국거래소를 통하여 매매하는 경우에는 1주 단위로 거래할 수 있습니다."
투자유의사항,"이 투자신탁은 시카고상업거래소(CME)에 상장된 미국채선물(U.S Treasury Long Bond Futures) 최근월물을 기초자산으로 하는 S&P U.S. Treasury Bond Futures Excess Return Index를 기초지수로 하여 1좌당 순자산가치의 일간변동률을 기초지수의 일간변동률의 음(陰)의 1배수로 연동하도록 운용하는 것을 목표로 합니다. 이는 일간 단위로만 기초지수 수익률의 음(陰)의 1배수를 추구하는 것이기 때문에 투자자의 전체 투자기간에 대한 누적수익률이 기초지수 수익률의 음(陰)의 1배수를 추구하는 것을 의미하지 않습니다.  관련 규정에서 정하는 한도를 초과하여 추적오차가 발생하 고 이것이 일정기간 이상 지속되는 경우, 기초지수를 산정할 수 없거나 이용할 수 없게 되는 경우, 기타 유가증권시장 상 장규정 제 116조 상장폐지 기준에 해당하거나 공익과 투자 자 보호를 위하여 증권시장이 이 투자신탁의 수익증권 폐지 가 필요하다고 인정하는 경우 상장이 폐지될 수 있습니다. 상품에 대한 자세한 내용은 자산운용사 홈페이지 (http://www.kstaretf.com) 또는 금융감독원 전자공시시스템 의 투자설명서를 통해 확인하시기 바랍니다."
