항목,내용
한글명,KODEX 한국부동산리츠인프라
영문명,KODEX KOREA REITs Infra
표준코드,KR7476800008
종목코드,476800
상장일,2024-03-05
펀드형태,수익증권형
기초지수명,KRX 부동산리츠인프라 지수
추적배수,일반 (1)
자산운용사,삼성자산운용(주)
지정참가회사(AP),"현대차증권, SK증권, 미래에셋증권, 키움증권, 삼성증권, 하이투자증권, NH투자증권, 한국투자증권, 메리츠증권, KB증권, 유진투자증권, 한화투자증권, DB금융투자"
총보수(%),0.09
회계기간,"매년 1월 1일부터 12월 31일까지. 단, 최초 회계기간은 최초설정일로부터 당해연도 12월 31일까지"
과세유형,비과세(분리과세부동산ETF)
분배금 지급일,매월 15일(15일이 영업일이 아닌 경우 그 직전 영업일)
홈페이지,www.kodex.com
www.kodex.com,www.kodex.com
기초 시장,(국내) (코스피+코스닥) (-)
기초 자산,(부동산) (리츠) / (-) (-) / (-)
기본 정보,"이 투자신탁은 국내 부동산투자회사 종목 및 사회기반시설투융자회사 종목을 주된 투자대상으로 신탁재산의 60% 이상 투자하여 1좌당 순자산가치의 변동률을 기초지수인 ' KRX 부동산리츠인프라 지수 '의 변동률과 유사하도록 투자신탁재산을 운용함을 그 운용목적으로 합니다. ※ 그러나 상기의 투자목적이 반드시 달성된다는 보장은 없으며, 집합투자업자, 신탁업자, 판매회사 등 이 투자신탁과 관련된 어떠한 당사자도 투자원금의 보장 또는 투자목적의 달성을 보장하지 아니합니다."
