항목,내용
한글명,히어로즈 국고채30년액티브
영문명,HEROES 30-Year Treasury Bond Active
표준코드,KR7471460006
종목코드,471460
상장일,2023-11-07
펀드형태,수익증권형
기초지수명,KIS-키움 국고채30년 지수(총수익지수)
추적배수,일반 (1)
자산운용사,키움투자자산운용(주)
지정참가회사(AP),"키움증권, 신한투자증권, 메리츠증권"
총보수(%),0.035
회계기간,"매년 1월 1일부터 12월 31일까지. 단, 최초 회계기간은 최초설정일로부터 당해연도 12월 31일까지"
과세유형,배당소득세(보유기간과세)
분배금 지급일,"회계기간 종료일(다만, 회계기간 종료일이 영업일이 아닌 경우 그 직전 영업일)"
홈페이지,http://www.kosef.co.kr
http://www.kosef.co.kr,http://www.kosef.co.kr
기초 시장,(국내) (주식외) (-)
기초 자산,(채권) (국공채) / (-) (장기) / (-)
기본 정보,"1. 이 투자신탁은 채권을 주된 투자대상으로 하며, KIS자산평가가 산출 및 발표하는 “KIS-키움 국고채30년 지수(총수익지수)”를 비교지수로 하는 액티브 상장집합 투자기구로, ETF의 순자산가치의 변화가 비교지수의 변화를 초과하도록 투자신탁재산을 운용함을 목적으로 합니다. 2. 이 투자신탁은 상장지수펀드로서 기초지수의 구성종목인 채권에 투자신탁재산의 60% 이상 투자하며, 최근 발행된 국고채 30년물 3종목에 주로 투자할 예정입니다. 3. 이 투자신탁은 투자목적 달성을 위하여 효율성 제고 차원에서 비교지수 이외의 구성종목과 파생상품 등에도 투자할 수 있으며, 또한 비교지수 대비 초과성과 달성을 위하여 듀레이션 전략 및 상대가치 전략을 수행할 예정입니다."
투자유의사항,"1. 이 ETF의 수익률은 보수 또는 비용 등 이 ETF의 순자산가치에 부의 영향을 미치는 다양한 이유로 인하여 기초지수 수익률과 괴리(추적오차)가 발생할 수 있습니다. 2. 개인투자자는 보유 ETF를 거래소에서 매도하는 방법으로만 현금화가 가능하므로 보유수익증권을 판매회사 또는 지정참가회사에 환매 신청할 수 없으며, 거래소의 거래 상황에 따라 동 ETF의 순자산가치와 거래가격이 다르게 형성될 수 있습니다."
