항목,내용
한글명,SOL 코리아밸류업TR
영문명,SOL Korea Value-up TR
표준코드,KR7495550006
종목코드,495550
상장일,2024-11-04
펀드형태,수익증권형
기초지수명,코리아 밸류업 TR 지수
추적배수,일반 (1)
자산운용사,신한자산운용 주식회사
지정참가회사(AP),"BNK, IM, KB, LS, NH, 대신, 메리츠, 미래, 유진, 키움, 하나, 한국"
총보수(%),0.05
회계기간,"매년 1월 1일부터 12월 31일까지. 단, 최초 회계기간은 최초설정일로부터 당해연도 12월 31일까지"
과세유형,배당소득세(보유기간과세)
분배금 지급일,"1, 4, 7, 10월 마지막 영업일 및 회계기간 종료일(다만, 회계기간 종료일이 영업일이 아닌경우 그 직전 영업일)"
홈페이지,http://www.soletf.com
http://www.soletf.com,http://www.soletf.com
기초 시장,(국내) (코스피+코스닥) (-)
기초 자산,(주식) (시장대표) / (-) (-) / (-)
기본 정보,"이 투자신탁은 법 시행령 제 92조 2항제 4호에서 규정하는 주된 투자대상자산으로 하며 한국거래소가 산출하는 'Korea Value-up Index(Total Return)’로 정부가 기획하고 있는 기업 밸류업 지원방안을 지원하기 위해 위해 다양한 세부요건(시장 대표성, 유동성, 수익성, 주주환원, 시장평가, 자본효율성 등과 같은 양적 & 질적 요건)들을 활용한 상품입니다. Korea Value-up Index(Total Return)는 종목편입 기준인 시장대표성(시가총액), 수익성(당기순이익), 주주환원(배당/자사주 소각), 시장평가(PBR), 자본효율성(ROE)의 평가지표를 활용하고 밸류업 계획 공시 유무를 특례조건으로하여 밸류업 지수 편입요건을 구성한 지수입니다. 또한 개별 종목의 지수 내 비중상한을 15%로 제한하여 초대형주의 편입비율을 제한하고 기타 종목의 편입비를 확대할 수 있습니다. 이러한 차별화를 통해 국내증시에서 대표격 성격을 가진 타 대표지수 대비 대형주 비중이 상대적으로 낮으며 배당은 상대적으로 높은 수준을 유지해 성장보다는 가치주 스타일에 근접한 성격을 보이는 지수입니다. 추정치가 아닌 과거의 재무지표를 기반으로 기업들을 선정해다는 점, ROE가 높은 기업들이 선정되었다는 점 등은 개별 기업의 재무여건과 성장을 동시에 포괄하는 기업들을 지수에 편입하고자 하기 때문에 기존의 한국대표지수과 차별적인 상품을 제공할 수 있을 것으로 보여집니다. 또한 배당을 하지 않고 재투자하는 Total Return ETF라는 상품의 특성상 장기적인 복리투자를 추구하는 투자자들에게 적합할 것으로 보여지며 한국주식시장에 장기투자 개인연금과 퇴직연금 등에 활용될 수 있을 것으로 판단됩니다. 해당 ETF투자의 경우 1주당 10,000원(최초 설정시점 기준)으로 투자를 할 수 있습니다. 설정단위는 50,000좌이며, 현물설정 방식으로 이루어집니다. 한국거래소를 통하여 매매하는 경우에는 1주 단위로 거래할 수 있습니다."
투자유의사항,"이 투자신탁은 투자 원리금 전액이 보장 또는 보호되지 않습니다. 따라서 투자원본의 전부 또는 일부에 대한 손실의 위험이 존재하며 투자의 결정과 투자금액의 손실 내지 감소의 위험은 전적으로 투자자가 부담하며, 집합투자업자나 판매회사 등 어떤 당사자도 투자의 결정 및 투자손실에 대하여 책임을 지지 아니합니다. 또한, 이 투자신탁은 예금자보호법의 적용을 받는 은행예금과 달리 은행 등에서 매입한 경우에도 예금자보호를 받지 못합니다. 이 투자신탁은 주식, 채권 등의 거래에 있어서 발행회사나 거래상대방의 영업환경, 재무상황 및 신용상태 악화 등에 따라 발행회사나 거래상대방의 신용등급이 하락하거나 채무불이행 위험에 커짐으로 인해 급격한 가치변동을 초래할 수 있습니다. 이 투자신탁은 해외증권시장에 상장되어 거래되는 주식에 투자하기 때문에 동주식의 가격변동으로 인한 손실위험에 노출됩니다. 또한, 투자신탁재산의 가치는 투자대상종목 발행회사의 영업환경, 재무상황 및 신용상태의 악화에 따라 급격히 변동될수 있습니다. 투자신탁은 증권시장에 상장되어 거래되는 주식 등에 주로 투자하기 때문에 동 주식의 가격변동으로 인한 손실위험에 노출됩니다. 또한, 투자신탁재산의 가치는 투자대상종목 발행회사의 영업환경, 재무상황 및 신용상태의 악화에 따라 급격히 변동될 수 있습니다. 이 투자신탁은 기초지수 수익률과 유사한 성과 달성을 목표로 하기 때문에 시장수익률 하락에 직접적으로 영향을 받습니다. 즉, 시장수익률 상승 혹은 하락 시 수익률하락 방어를 목적으로 하는 포트폴리오 조정과 같은 별도의 노력을 수행하지 않습니다. 상품에 대한 자세한 내용은 자산운용사 홈페이지(http://www.soletf.com) 또는 금융감독원 전자공시시스템의 투자설명서를 통해 확인하시기 바랍니다."
